Site,Code,Country,Region,"Year of Identification (=date of final draft, or reviwed Version uploaded in the database)",note,Area (km2)
Chimanimani Lowlands,,MOZ: Mozambique,,19/07/2022 10:24,publish,514
Chimanimani Mountains,MOZTIPA003B,MOZ: Mozambique,Manica [Province],2022,Publication year,
Chimanimani Mountains,,MOZ: Mozambique,,19/07/2022 11:33,publish,319
ErÃ¡ti,,MOZ: Mozambique,,19/07/2022 11:35,publish,174
Eráti,MOZTIPA008,MOZ: Mozambique,Nampula [Province],2022,Publication year,
Goa and Sena Islands,MOZTIPA010,MOZ: Mozambique,Nampula [Province],2022,Publication year,
Goa and Sena Islands,,MOZ: Mozambique,,19/07/2022 11:37,publish,0.65
Goba,MOZTIPA043,MOZ: Mozambique,Maputo [Province],2022,Publication year,
Goba,,MOZ: Mozambique,,19/07/2022 11:39,publish,217
Gobene,MOZTIPA043,MOZ: Mozambique,Zambézia [Province],2022,Publication year,
Gobene,,MOZ: Mozambique,,23/01/2025 09:38,publish,118
Inhaca Island,MOZTIPA051,MOZ: Mozambique,Maputo [Province],2022,Publication year,
Inhaca Island,,MOZ: Mozambique,,19/07/2022 11:41,publish,132
Inhamitanga Forest,MOZTIPA034,MOZ: Mozambique,Sofala [Province],2022,Publication year,
Inhamitanga Forest,,MOZ: Mozambique,,19/07/2022 11:43,publish,629
Inharrime-Zavora,,MOZ: Mozambique,,19/07/2022 11:45,publish,31.9
Inharrime-Závora,MOZTIPA044,MOZ: Mozambique,Inhambane [Province],2022,Publication year,
Inhassoro-Vilanculos,MOZTIPA053,MOZ: Mozambique,Inhambane [Province],2022,Publication year,
Inhassoro-Vilanculos,,MOZ: Mozambique,,19/07/2022 11:48,publish,953
Licuati Forest,MOZTIPA009,MOZ: Mozambique,Maputo [Province],2022,Publication year,
Licuati Forest,,MOZ: Mozambique,,21/07/2022 09:19,publish,470
Lower Rovuma Escarpment,MOZTIPA023,MOZ: Mozambique,Cabo Delgado [Province],2022,Publication year,
Lower Rovuma Escarpment,,MOZ: Mozambique,,21/07/2022 09:21,publish,1999
Lupangua Peninsula,MOZTIPA026,MOZ: Mozambique,Cabo Delgado [Province],2022,Publication year,
Lupangua Peninsula,,MOZ: Mozambique,,21/07/2022 09:24,publish,57
"Lúrio Waterfalls,Chiúre",MOZTIPA013,MOZ: Mozambique,Cabo Delgado [Province],2022,Publication year,
"Lúrio Waterfalls,Chiúre",,MOZ: Mozambique,,21/07/2022 09:30,publish,6.7
Mapinhane,MOZTIPA056,MOZ: Mozambique,Inhambane [Province],2022,Publication year,
Mapinhane,,MOZ: Mozambique,,21/07/2022 09:32,publish,2070
Matibane Forest,MOZTIPA005,MOZ: Mozambique,Nampula [Province],2022,Publication year,
Matibane Forest,,MOZ: Mozambique,,21/07/2022 09:35,publish,45.4
Moebase,MOZTIPA032,MOZ: Mozambique,Zambézia [Province],2022,Publication year,
Moebase,,MOZ: Mozambique,,21/07/2022 09:37,publish,71
Mogincual,MOZTIPA029,MOZ: Mozambique,Nampula [Province],2022,Publication year,
Mogincual,,MOZ: Mozambique,,21/07/2022 09:39,publish,21
Mount Gorongosa,MOZTIPA002,MOZ: Mozambique,Sofala [Province],2022,Publication year,
